,population,city,province,# restaurants,restaurants per capita,population per restaurant,restaurants per 10k people,"city, state"
145,160628.0,Jackson,MS,14,8.715790522200363e-05,11473.42857142857,0.8715790522200364,"Jackson, MS"
146,159428.0,Alexandria,VA,17,0.00010663120656346439,9378.117647058823,1.0663120656346439,"Alexandria, VA"
147,159203.0,Hayward,CA,10,6.28128866918337e-05,15920.3,0.628128866918337,"Hayward, CA"
148,158146.0,Clarksville,TN,40,0.0002529308360628786,3953.65,2.529308360628786,"Clarksville, TN"
149,157601.0,Lancaster,CA,25,0.00015862843509876207,6304.04,1.5862843509876208,"Lancaster, CA"
150,155465.0,Salinas,CA,7,4.502621168751809e-05,22209.285714285714,0.4502621168751809,"Salinas, CA"
151,155079.0,Palmdale,CA,18,0.00011606987406418665,8615.5,1.1606987406418665,"Palmdale, CA"
152,154817.0,Hollywood,FL,23,0.00014856249636667807,6731.173913043478,1.4856249636667809,"Hollywood, FL"
153,153606.0,Springfield,MA,10,6.510162363449344e-05,15360.6,0.6510162363449344,"Springfield, MA"
154,152960.0,Kansas City,KS,12,7.845188284518828e-05,12746.666666666666,0.7845188284518829,"Kansas City, KS"
155,152703.0,Sunnyvale,CA,11,7.203525798445349e-05,13882.09090909091,0.7203525798445348,"Sunnyvale, CA"
156,151691.0,Pomona,CA,10,6.592348919843629e-05,15169.1,0.6592348919843629,"Pomona, CA"
157,151666.0,Killeen,TX,17,0.00011208840478419686,8921.529411764706,1.1208840478419684,"Killeen, TX"
158,151625.0,Escondido,CA,11,7.254740313272877e-05,13784.09090909091,0.7254740313272877,"Escondido, CA"
159,151227.0,Pasadena,TX,10,6.612575796650069e-05,15122.7,0.6612575796650069,"Pasadena, TX"
160,148449.0,Naperville,IL,9,6.0626881959460825e-05,16494.333333333332,0.6062688195946082,"Naperville, IL"
161,148164.0,Bellevue,WA,9,6.0743500445452335e-05,16462.666666666668,0.6074350044545234,"Bellevue, WA"
162,147344.0,Joliet,IL,13,8.822890650450647e-05,11334.153846153846,0.8822890650450645,"Joliet, IL"
163,146900.0,Murfreesboro,TN,16,0.00010891763104152485,9181.25,1.0891763104152485,"Murfreesboro, TN"
164,146038.0,Midland,TX,7,4.793272983743957e-05,20862.571428571428,0.4793272983743957,"Midland, TX"
165,145609.0,Rockford,IL,23,0.00015795726912484805,6330.826086956522,1.5795726912484804,"Rockford, IL"
166,144464.0,Savannah,GA,24,0.00016613135452431054,6019.333333333333,1.6613135452431054,"Savannah, GA"
167,144399.0,Bridgeport,CT,5,3.462627857533639e-05,28879.8,0.34626278575336394,"Bridgeport, CT"
168,143592.0,Torrance,CA,15,0.00010446264415844894,9572.8,1.0446264415844895,"Torrance, CA"
169,143268.0,McAllen,TX,8,5.583940586872156e-05,17908.5,0.5583940586872156,"McAllen, TX"
170,142327.0,Syracuse,NY,19,0.00013349540143472427,7490.894736842105,1.3349540143472427,"Syracuse, NY"
171,141664.0,Surprise,AZ,14,9.88253896543935e-05,10118.857142857143,0.988253896543935,"Surprise, AZ"
172,141541.0,Denton,TX,8,5.652072544351107e-05,17692.625,0.5652072544351107,"Denton, TX"
173,141500.0,Roseville,CA,20,0.0001413427561837456,7075.0,1.4134275618374559,"Roseville, CA"
174,141029.0,Pasadena,CA,9,6.381666182132753e-05,15669.888888888889,0.6381666182132752,"Pasadena, CA"
175,140937.0,Mesquite,TX,22,0.00015609811476049583,6406.227272727273,1.5609811476049582,"Mesquite, TX"
176,140545.0,Olathe,KS,12,8.538190615105483e-05,11712.083333333334,0.8538190615105482,"Olathe, KS"
177,140407.0,Dayton,OH,99,0.0007050930509162649,1418.2525252525252,7.050930509162649,"Dayton, OH"
178,139248.0,Carrollton,TX,10,7.181431690221763e-05,13924.8,0.7181431690221763,"Carrollton, TX"
179,139236.0,Waco,TX,17,0.00012209486052457697,8190.35294117647,1.2209486052457696,"Waco, TX"
180,138669.0,Orange,CA,9,6.490275404019644e-05,15407.666666666666,0.6490275404019644,"Orange, CA"
181,138632.0,Fullerton,CA,15,0.00010820012695481563,9242.133333333333,1.0820012695481562,"Fullerton, CA"
182,137566.0,Charleston,SC,34,0.00024715409330793947,4046.0588235294117,2.4715409330793947,"Charleston, SC"
183,135248.0,West Valley City,UT,4,2.9575298710516975e-05,33812.0,0.29575298710516973,"West Valley City, UT"
184,134605.0,Visalia,CA,6,4.457486720404146e-05,22434.166666666668,0.4457486720404146,"Visalia, CA"
185,134510.0,Hampton,VA,20,0.0001486878299011226,6725.5,1.486878299011226,"Hampton, VA"
186,133997.0,Gainesville,FL,15,0.00011194280468965723,8933.133333333333,1.1194280468965723,"Gainesville, FL"
187,133943.0,Warren,MI,9,6.719276109987083e-05,14882.555555555555,0.6719276109987085,"Warren, MI"
188,133562.0,Cedar Rapids,IA,16,0.00011979455234273222,8347.625,1.1979455234273222,"Cedar Rapids, IA"
189,133372.0,Round Rock,TX,13,9.747173319737276e-05,10259.384615384615,0.9747173319737277,"Round Rock, TX"
190,132438.0,Sterling Heights,MI,3,2.2652108911339646e-05,44146.0,0.22652108911339644,"Sterling Heights, MI"
191,132319.0,Kent,WA,17,0.00012847739175779745,7783.470588235294,1.2847739175779744,"Kent, WA"
192,131674.0,Columbia,SC,72,0.0005468049880766135,1828.8055555555557,5.468049880766134,"Columbia, SC"
193,130365.0,Santa Clara,CA,13,9.972001687569516e-05,10028.076923076924,0.9972001687569516,"Santa Clara, CA"
194,130250.0,New Haven,CT,5,3.838771593090211e-05,26050.0,0.3838771593090211,"New Haven, CT"
195,129295.0,Concord,CA,7,5.4139757917939595e-05,18470.714285714286,0.5413975791793959,"Concord, CA"
196,126813.0,Thousand Oaks,CA,6,4.7313761207447186e-05,21135.5,0.47313761207447186,"Thousand Oaks, CA"
197,126185.0,Lafayette,LA,28,0.00022189642192019653,4506.607142857143,2.2189642192019656,"Lafayette, LA"
198,125613.0,Simi Valley,CA,6,4.776575672900098e-05,20935.5,0.4776575672900098,"Simi Valley, CA"
199,125310.0,Topeka,KS,13,0.00010374271805921315,9639.23076923077,1.0374271805921316,"Topeka, KS"
200,124880.0,Norman,OK,20,0.00016015374759769378,6244.0,1.6015374759769379,"Norman, OK"
201,124662.0,Fargo,ND,15,0.00012032535977282572,8310.8,1.2032535977282572,"Fargo, ND"
202,123744.0,Wilmington,NC,20,0.00016162399793121282,6187.2,1.6162399793121283,"Wilmington, NC"
203,123420.0,Abilene,TX,13,0.00010533138875384865,9493.846153846154,1.0533138875384864,"Abilene, TX"
204,123334.0,Odessa,TX,11,8.918870708806979e-05,11212.181818181818,0.891887070880698,"Odessa, TX"
205,123195.0,Columbia,MO,17,0.00013799261333658023,7246.764705882353,1.3799261333658022,"Columbia, MO"
206,122460.0,Pearland,TX,9,7.349338559529642e-05,13606.666666666666,0.7349338559529642,"Pearland, TX"
207,122385.0,Victorville,CA,5,4.085467990358296e-05,24477.0,0.4085467990358295,"Victorville, CA"
208,122105.0,Hartford,CT,13,0.0001064657466934196,9392.692307692309,1.064657466934196,"Hartford, CT"
209,121692.0,Vallejo,CA,4,3.286986819182855e-05,30423.0,0.3286986819182855,"Vallejo, CA"
210,121442.0,Allentown,PA,11,9.057821840878773e-05,11040.181818181818,0.9057821840878774,"Allentown, PA"
211,121363.0,Berkeley,CA,5,4.119871789589908e-05,24272.6,0.4119871789589908,"Berkeley, CA"
212,121323.0,Richardson,TX,7,5.769722146666337e-05,17331.85714285714,0.5769722146666336,"Richardson, TX"
213,121272.0,Arvada,CO,16,0.00013193482419684676,7579.5,1.3193482419684675,"Arvada, CO"
214,119980.0,Ann Arbor,MI,6,5.000833472245374e-05,19996.666666666668,0.5000833472245374,"Ann Arbor, MI"
215,118935.0,Rochester,MN,11,9.248749316853743e-05,10812.272727272728,0.9248749316853744,"Rochester, MN"
216,118927.0,Cambridge,MA,7,5.8859636583786695e-05,16989.571428571428,0.5885963658378669,"Cambridge, MA"
217,118488.0,Sugar Land,TX,8,6.751738572682465e-05,14811.0,0.6751738572682465,"Sugar Land, TX"
218,118210.0,Lansing,MI,20,0.00016919042382201166,5910.5,1.6919042382201168,"Lansing, MI"
219,117979.0,Evansville,IN,32,0.00027123471126217375,3686.84375,2.7123471126217376,"Evansville, IN"
220,117911.0,College Station,TX,2,1.6961945874430713e-05,58955.5,0.16961945874430714,"College Station, TX"
221,117133.0,Fairfield,CA,11,9.391034123603083e-05,10648.454545454546,0.9391034123603084,"Fairfield, CA"
222,116946.0,Clearwater,FL,25,0.00021377387854223316,4677.84,2.1377387854223318,"Clearwater, FL"
223,116825.0,Beaumont,TX,10,8.559811684142949e-05,11682.5,0.855981168414295,"Beaumont, TX"
224,116672.0,Independence,MO,12,0.00010285244103126714,9722.666666666666,1.0285244103126714,"Independence, MO"
225,116618.0,Provo,UT,11,9.432506131128986e-05,10601.636363636364,0.9432506131128986,"Provo, UT"
226,116480.0,West Jordan,UT,9,7.726648351648351e-05,12942.222222222223,0.7726648351648352,"West Jordan, UT"
227,116223.0,Murrieta,CA,5,4.302074460304759e-05,23244.6,0.43020744603047595,"Murrieta, CA"
228,115552.0,Palm Bay,FL,6,5.192467460537247e-05,19258.666666666668,0.5192467460537248,"Palm Bay, FL"
229,115487.0,El Monte,CA,8,6.927186609748283e-05,14435.875,0.6927186609748284,"El Monte, CA"
230,115382.0,Carlsbad,CA,3,2.600058934669186e-05,38460.666666666664,0.2600058934669186,"Carlsbad, CA"
231,115382.0,North Charleston,SC,29,0.0002513390303513546,3978.689655172414,2.5133903035135465,"North Charleston, SC"
232,114761.0,Temecula,CA,5,4.356880821881998e-05,22952.2,0.4356880821881998,"Temecula, CA"
233,114584.0,Clovis,CA,7,6.109055365496055e-05,16369.142857142857,0.6109055365496056,"Clovis, CA"
234,114230.0,Springfield,IL,17,0.0001488225509936094,6719.411764705882,1.488225509936094,"Springfield, IL"
235,114161.0,Meridian,ID,18,0.00015767205963507677,6342.277777777777,1.5767205963507678,"Meridian, ID"
236,113166.0,Westminster,CO,3,2.6509729070568897e-05,37722.0,0.265097290705689,"Westminster, CO"
237,113003.0,Costa Mesa,CA,17,0.00015043848393405486,6647.235294117647,1.5043848393405486,"Costa Mesa, CA"
238,112791.0,High Point,NC,16,0.0001418552898724189,7049.4375,1.418552898724189,"High Point, NC"
239,112673.0,Manchester,NH,8,7.100192592724077e-05,14084.125,0.7100192592724077,"Manchester, NH"
240,112361.0,Pueblo,CO,11,9.789873710629133e-05,10214.636363636364,0.9789873710629132,"Pueblo, CO"
241,112136.0,Lakeland,FL,24,0.00021402582578297782,4672.333333333333,2.140258257829778,"Lakeland, FL"
