,name,address,city,province,latitude,longitude
25083,subway,3710 Main St,Anderson,IN,40.077048,-85.677546
25084,wafflehouse,7425 Augusta Rd,Piedmont,SC,34.729989,-82.388994
25085,saffron,505 S Flower St,Los Angeles,CA,34.050966,-118.256725
25086,chickenkitchen,9067 SW 107th Ave,Miami,FL,25.684282,-80.366571
25087,mcdonalds,2101 N Roan St,Johnson City,TN,36.340531,-82.375534
25088,wendys,201 Marion Pike,Ironton,OH,38.500356,-82.652345
25089,redrobingourmetburgersbrews,100 Bluefish Dr,Panama City Beach,FL,30.220901,-85.869446
25090,wendys,7035 S 900 E,Midvale,UT,40.623505,-111.86548
25091,burgerking,1096 W Fulton St,Waupaca,WI,44.356882,-89.113254
25092,carlsjr,296 Coburg Rd,Eugene,OR,44.065937,-123.074495
25093,churchschicken,810 W Avenue I,Lancaster,CA,34.703693,-118.145963
25094,tacocabana,11111 Broadway St,Pearland,TX,29.556326,-95.392389
25095,subway,1717 S 76th St,Milwaukee,WI,43.010542,-88.010375
25096,wendys,480 S Main St,Ferdinand,IN,38.209019,-86.864636
25097,mcdonalds,3050 Dixie Hwy,Erlanger,KY,39.021686,-84.58856
25098,subway,2405 Durham Chapel Hill Blvd,Durham,NC,35.974728,-78.924573
25099,subway,1200 Missouri Ave N,Largo,FL,27.928041,-82.787287
25100,thecampbellhouseinnrestaurant,252 Pearl St,Eugene,OR,44.056988,-123.09007
25101,cookout,5715 N Sharon Amity Rd,Charlotte,NC,35.234808,-80.738931
25102,mcdonalds,21355 Sw Sherwood Blvd,Sherwood,OR,45.365922,-122.847632
25103,mcdonalds,895 Sw Rimrock Way Ste 100,Redmond,OR,44.26791,-121.19238
25104,redrobingourmetburgers,1845 14th Ave Se,Albany,OR,44.6289,-123.0816
25105,sonicdrivein,500 Nw Oak Tree Ln,Redmond,OR,44.294214,-121.17327
25106,burgerville,118 W 3rd St,The Dalles,OR,45.6018,-121.1851
25107,burgerville,3504 Se 92nd Ave,Portland,OR,45.496585,-122.566573
25108,tacobell,2247 Ne 82nd Ave,Portland,OR,45.5386,-122.5793
25109,tacobell,112 Clover Leaf Loop,Sutherlin,OR,43.38718,-123.34229
25110,tacobell,6255 Se Tualatin Valley Hwy,Hillsboro,OR,45.500036,-122.917747
25111,tacobell,7415 Ne M L King Blvd,Portland,OR,45.576643,-122.661672
25112,pizzahut,5024 Ne M L King Blvd,Portland,OR,45.5593,-122.6614
25113,sushiisljapeneserestaurant,3215 W 11th Ave,Eugene,OR,44.04844,-123.14121
25114,jaliscosmexicanrestaurant,3095 W 11th Ave,Eugene,OR,44.0481,-123.1382
25115,mazatlanmexicanrestaurant,11619 Sw Pacific Hwy,Portland,OR,45.4393,-122.7524
25116,nicholasrestaurant,318 Se Grand Ave,Portland,OR,45.5205,-122.6606
25117,subway,2125 Nw Stewart Pkwy,Roseburg,OR,43.2353,-123.3691
25118,tacotime,265 Main St,Springfield,OR,44.0461,-123.0225
25119,burgerking,434 E Ellendale Ave,Dallas,OR,44.930722,-123.306618
25120,jackinthebox,14811 Se Mcloughlin Blvd,Portland,OR,45.415494,-122.631985
25121,burgerking,2561 Campus Dr,Klamath Falls,OR,42.2502,-121.7892
25122,paexpress,1122 Nw Garden Valley Blvd Ste 301,Roseburg,OR,43.23079,-123.37046
25123,pizzahut,7960 S Broadway,Littleton,CO,39.572235,-104.987977
25124,dairyqueen,160 S High St,Cortland,OH,41.329024,-80.725468
25125,sonicdrivein,302 Festus Centre Dr,Festus,MO,38.212192,-90.392572
25126,sonicdrivein,14171 Highway 231 431 N,Hazel Green,AL,34.930985,-86.572243
25127,mcdonalds,8905 Runway Ct SW,Cedar Rapids,IA,41.891442,-91.674059
25128,papajohnspizza,6600 E Independence Blvd,Charlotte,NC,35.170884,-80.74573
25129,subway,100 S Conestoga Dr,Shippensburg,PA,40.062412,-77.496545
25130,culvers,2063 Ridge Rd,Minooka,IL,41.421735,-88.270734
25131,subway,501 N Park Ave,Tucson,AZ,32.235805,-110.95759
25132,captainds,1805 W Main St,Centre,AL,34.159555,-85.71138
25133,jasonsdeli,12405 N Meridian St,Carmel,IN,39.969482,-86.1563
25134,chanellospizza,3201 E Ocean View Ave,Norfolk,VA,36.933068,-76.204423
25135,dairyqueen,412 Cross Creek Mall,Fayetteville,NC,35.045541,-78.878869
25136,lolascafeatkingsling,1520 Johnson St Ne,Minneapolis,MN,45.00273,-93.23726
25137,subway,2373 E Main St,Plainfield,IN,39.712064,-86.371583
25138,subway,31 E South St,Indianapolis,IN,39.76141,-86.157403
25139,subway,2501 Burr St,Gary,IN,41.5729,-87.4035
25140,fiveguysburgersfries,5226 Franklin St,Michigan City,IN,41.672615,-86.89399
25141,subway,2783 Deadwood Ave,Rapid City,SD,44.112797,-103.272866
25142,popeyeslouisianakitchen,700 S Van Buren Rd,Eden,NC,36.489474,-79.738798
25143,checkers,1123 E Pass Rd,Gulfport,MS,30.397713,-89.030035
25144,sonicdrivein,7925 Cypress Creek Pkwy,Houston,TX,29.961179,-95.547201
25145,kfc,2181 S Havana St,Aurora,CO,39.677141,-104.866474
25146,subway,3640 Dixie Hwy,Saginaw,MI,43.398878,-83.91113
25147,subway,934 Dixon Blvd,Cocoa,FL,28.374929,-80.741266
25148,zestoofwestcolumbia,504 12th St,West Columbia,SC,33.986247,-81.072401
25149,subway,10501 Fgcu Blvd S,Fort Myers,FL,26.463024,-81.779802
25150,arbys,1551 Gulf Shores Pkwy,Gulf Shores,AL,30.266621,-87.689042
25151,kfc,2436 E Indian School Rd,Phoenix,AZ,33.495125,-112.028947
25152,tacobell,2235 W Andrew Johnson Hwy,Morristown,TN,36.205419,-83.323583
25153,dairyqueen,300 W Main ST,Hallsville,TX,32.504488,-94.577655
25154,dunkindonuts,12930 SW 120th St,Miami,FL,25.656327,-80.405036
25155,subway,900 Thornton Rd,Lithia Springs,GA,33.779652,-84.606109
25156,burgerking,3000 Highway 112,Lecompte,LA,31.073741,-92.432167
25157,pizzahut,1076 Parsons Ave,Columbus,OH,39.94162,-82.982935
25158,ryans,151 Dorman Centre Dr,Spartanburg,SC,34.932863,-81.98771
25159,wendys,9910 Southpoint Pkwy,Fredericksburg,VA,38.233938,-77.504418
25160,bobevans,4331 W Broad St,Columbus,OH,39.952411,-83.116452
25161,tacobell,23010 Sunnymead Blvd,Moreno Valley,CA,33.940126,-117.261011
25162,arbys,100 Speedway Dr,Newark,OH,40.055361,-82.482496
25163,wendys,1440 Shoop Avenue,Wauseon,OH,41.571905,-84.134041
